2.3  9.6 1
3.0 10.6 1
2.9  9.9 1
2.4  8.7 1
2.3 10.1 1
2.0  7.0 1
2.2 11.0 1
2.1  8.2 1
2.3  9.0 1
2.1  7.3 1
2.1  8.5 1
2.2  9.7 1
2.0  7.4 1
2.3  7.3 1
2.2  7.1 1
2.3  9.0 1
2.1  7.6 1
2.0  9.5 1
2.9 10.1 1
2.7 10.2 1
2.6 10.1 1
2.3  9.5 1
2.6  8.7 1
2.1  7.2 1
2.9  9.4 2
2.4  9.3 2
2.2  7.2 2
2.9 11.3 2
2.5  8.8 2
3.1  9.9 2
3.0 13.3 2
2.5 12.7 2
3.4 14.4 2
3.0 10.0 2
2.6 10.5 2
2.5  8.6 2
2.8 10.0 2
3.1 12.1 2
3.0 13.8 2
2.7 12.0 2
2.8 12.0 2
2.1 10.1 2
3.3 11.5 2
3.4 12.2 2
2.8 13.5 2
2.7 10.4 2
3.2 11.6 2
3.0 10.6 2
