                    1                       13.0
                    1                       13.3
                    1                       11.8
                    2                       21.9
                    2                       24.5
                    2                       24.7
                    3                       29.8
                    3                       28.0
                    3                       24.1
                    3                       24.2
                    3                       26.2
                    7                       32.4
                    7                       30.4
                    7                       34.5
                    7                       33.1
                    7                       35.7
                   28                       41.8
                   28                       42.6
                   28                       40.3
                   28                       35.7
                   28                       37.3


