 prima  -0.8    7.2  
 prima  -0.7    6.9  
 prima   0.4    6.4   
 prima   2.5    6.0   
 prima   2.9    5.8   
 prima   3.2    5.8   
 prima   3.6    5.6   
 prima   3.9    4.7   
 prima   4.2    5.8   
 prima   4.3    5.2   
 prima   5.4    4.9   
 prima   6.0    4.9   
 prima   6.0    4.3   
 prima   6.0    4.4   
 prima   6.2    4.5   
 prima   6.3    4.6   
 prima   6.9    3.7   
 prima   7.0    3.9   
 prima   7.4    4.2   
 prima   7.5    4.0   
 prima   7.5    3.9   
 prima   7.6    3.5   
 prima   8.0    4.0   
 prima   8.5    3.6   
 prima   9.1    3.1   
 prima  10.2    2.6   
 dopo   -0.7    4.8             
 dopo    0.8    4.6              
 dopo    1.0    4.7  
 dopo    1.4    4.0  
 dopo    1.5    4.2  
 dopo    1.6    4.2  
 dopo    2.3    4.1  
 dopo    2.5    4.0  
 dopo    2.5    3.5  
 dopo    3.1    3.2  
 dopo    3.9    3.9  
 dopo    4.0    3.5  
 dopo    4.0    3.7  
 dopo    4.2    3.5  
 dopo    4.3    3.5  
 dopo    4.6    3.7  
 dopo    4.7    3.5  
 dopo    4.9    3.4  
 dopo    4.9    3.7  
 dopo    4.9    4.0  
 dopo    5.0    3.6  
 dopo    5.3    3.7  
 dopo    6.2    2.8  
 dopo    7.1    3.0  
 dopo    7.2    2.8  
 dopo    7.5    2.6  
 dopo    8.0    2.7  
 dopo    8.7    2.8  
 dopo    8.8    1.3  
 dopo    9.7    1.5  
