

        6.9     38.4    6.1     220     235
        14.4    40.3    4.8     231     307
        7.4     40.0    6.1     217     212
        8.5     31.8    0.2     316     365
        8.0     40.8    3.5     210     218
        2.8     41.3    1.8     267     235
        5.0     38.1    1.2     274     285
        12.2    50.8    8.6     190     205
        10.0    32.2    5.2     236     267
        15.2    38.4    6.1     220     300
        26.8    40.3    4.8     231     367
        14.0    32.2    2.4     284     351
        14.7    31.8    0.2     316     379
        6.4     41.3    1.8     267     275
        17.6    38.1    1.2     274     365
        22.3    50.8    8.6     190     275

        24.8    32.2    5.2     236     360
        26.0    38.4    6.1     220     365
        34.9    40.3    4.8     231     395
        18.2    40.0    6.1     217     272
        23.2    32.2    2.4     284     424
        18.0    31.8    0.2     316     428
        13.1    40.8    3.5     210     273
        16.1    41.3    1.8     267     358
        32.1    38.1    1.2     274     444
        34.7    50.8    8.6     190     345
        31.7    32.2    5.2     236     402
        33.6    38.4    6.1     220     410
        30.4    40.0    6.1     217     340
        26.6    40.8    3.5     210     347
        27.8    41.3    1.8     267     416
        45.7    50.8    8.6     190     407
